rva	va	name	storage	source	source_raw
0x00010000	0x00020000	_nextword	external	main.c	main.c
0x00010024	0x00020024	_main	external	main.c	main.c
0x00010900	0x00020900	_final	external	main.c	main.c
0x00010bd0	0x00020bd0	_GetSourceLine	external	main.c	main.c
0x00010bec	0x00020bec	_mingle	external	main.c	main.c
0x00010c84	0x00020c84	_fin_mingle	external	main.c	main.c
0x00010cf0	0x00020cf0	_recover	external	main.c	main.c
0x00010e38	0x00020e38	_code_bias	external	main.c	main.c
0x00010e58	0x00020e58	_get_node	external	main.c	main.c
0x00010eb0	0x00020eb0	_heap_overflow	external	main.c	main.c
0x00010ec0	0x00020ec0	_freemem	external	memallo.c	memallo.c
0x00010f38	0x00020f38	_getmem	external	memallo.c	memallo.c
0x00010fd8	0x00020fd8	_pcheck	external	memallo.c	memallo.c
0x00011028	0x00021028	_adjust_code_pool	external	memallo.c	memallo.c
0x0001103c	0x0002103c	_clear	external	memallo.c	memallo.c
0x00011068	0x00021068	_freelst	external	memallo.c	memallo.c
0x00011094	0x00021094	_pstrdup	external	memallo.c	memallo.c
0x000110e4	0x000210e4	_cpybuf	external	memallo.c	memallo.c
0x00011104	0x00021104	_CheckFarHeap	external	memallo.c	memallo.c
0x0001112c	0x0002112c	_CheckNearHeap	external	memallo.c	memallo.c
0x00011160	0x00021160	_read_seginfo	external	compiler_contribution_004 [_read_seginfo, _init_obj, _set_class...]	c:\c6\\cmerge\
0x000114c4	0x000214c4	_init_obj	external	compiler_contribution_004 [_read_seginfo, _init_obj, _set_class...]	c:\c6\\cmerge\
0x00011cb0	0x00021cb0	_set_class	external	compiler_contribution_004 [_read_seginfo, _init_obj, _set_class...]	c:\c6\\cmerge\
0x00011d44	0x00021d44	_calc_fixes	external	compiler_contribution_004 [_read_seginfo, _init_obj, _set_class...]	c:\c6\\cmerge\
0x00011ec4	0x00021ec4	_fix_symbol	external	compiler_contribution_004 [_read_seginfo, _init_obj, _set_class...]	c:\c6\\cmerge\
0x000120dc	0x000220dc	_symbol_fixup	external	compiler_contribution_004 [_read_seginfo, _init_obj, _set_class...]	c:\c6\\cmerge\
0x0001222c	0x0002222c	_eGRPDEF	external	compiler_contribution_004 [_read_seginfo, _init_obj, _set_class...]	c:\c6\\cmerge\
0x00012270	0x00022270	_emit_comment	external	compiler_contribution_004 [_read_seginfo, _init_obj, _set_class...]	c:\c6\\cmerge\
0x00012434	0x00022434	_emit_huge_array	external	compiler_contribution_004 [_read_seginfo, _init_obj, _set_class...]	c:\c6\\cmerge\
0x000124c0	0x000224c0	_getnew	external	omf.c	omf.c
0x000124e8	0x000224e8	_findseg	external	omf.c	omf.c
0x00012520	0x00022520	_eFIXLIST	external	omf.c	omf.c
0x00012558	0x00022558	_emitc	external	omf.c	omf.c
0x00012590	0x00022590	_emitw	external	omf.c	omf.c
0x000125bc	0x000225bc	_emitl	external	omf.c	omf.c
0x000125dc	0x000225dc	_emitlp	external	omf.c	omf.c
0x000125fc	0x000225fc	_emitn	external	omf.c	omf.c
0x00012648	0x00022648	_StripDname	external	omf.c	omf.c
0x000126a8	0x000226a8	_emitname	external	omf.c	omf.c
0x0001272c	0x0002272c	_emitlongname	external	omf.c	omf.c
0x0001279c	0x0002279c	_emitz	external	omf.c	omf.c
0x000127dc	0x000227dc	_emitindex	external	omf.c	omf.c
0x0001281c	0x0002281c	_emit_leafdescriptor	external	omf.c	omf.c
0x0001288c	0x0002288c	_emit_comdeflength	external	omf.c	omf.c
0x00012904	0x00022904	_init_rec	external	omf.c	omf.c
0x000129e0	0x000229e0	_emit_init	external	omf.c	omf.c
0x00012a3c	0x00022a3c	_uppercasify	external	omf.c	omf.c
0x00012a5c	0x00022a5c	_put_data	external	omf.c	omf.c
0x00012ae8	0x00022ae8	_makename	external	omf.c	omf.c
0x00012d58	0x00022d58	_add_segment	external	omf.c	omf.c
0x00012d98	0x00022d98	_init_seg	external	omf.c	omf.c
0x00012de0	0x00022de0	_beginrec	external	omf_ms.c	omf_ms.c
0x00012e84	0x00022e84	_flushn	external	omf_ms.c	omf_ms.c
0x00012e9c	0x00022e9c	_newrec	external	omf_ms.c	omf_ms.c
0x000130cc	0x000230cc	_endrec	external	omf_ms.c	omf_ms.c
0x00013198	0x00023198	_eTHEADR	external	omf_ms.c	omf_ms.c
0x000131b4	0x000231b4	_eCOMENT	external	omf_ms.c	omf_ms.c
0x0001322c	0x0002322c	_eLLNAME	external	omf_ms.c	omf_ms.c
0x00013254	0x00023254	_eLNAME	external	omf_ms.c	omf_ms.c
0x0001327c	0x0002327c	_eSEGDEF	external	omf_ms.c	omf_ms.c
0x00013364	0x00023364	_eCOMDEF	external	omf_ms.c	omf_ms.c
0x00013408	0x00023408	_eEXTDEF	external	omf_ms.c	omf_ms.c
0x00013424	0x00023424	_eLEXTDEF	external	omf_ms.c	omf_ms.c
0x00013440	0x00023440	_eEDEF	external	omf_ms.c	omf_ms.c
0x00013470	0x00023470	_eCEXTDEF	external	omf_ms.c	omf_ms.c
0x000134b4	0x000234b4	_emit_comdat_sym	external	omf_ms.c	omf_ms.c
0x00013514	0x00023514	_ePUBDEF	external	omf_ms.c	omf_ms.c
0x00013530	0x00023530	_eLPUBDEF	external	omf_ms.c	omf_ms.c
0x0001354c	0x0002354c	_ePDEF	external	omf_ms.c	omf_ms.c
0x00013580	0x00023580	_emit_line_number	external	omf_ms.c	omf_ms.c
0x000135b4	0x000235b4	_eLINNUM	external	omf_ms.c	omf_ms.c
0x00013684	0x00023684	_eLIDATA	external	omf_ms.c	omf_ms.c
0x000136fc	0x000236fc	_eCOMDAT	external	omf_ms.c	omf_ms.c
0x00013854	0x00023854	_eLINSYM	external	omf_ms.c	omf_ms.c
0x00013a00	0x00023a00	_emitnum	external	omf_ms.c	omf_ms.c
0x00013a84	0x00023a84	_eFIXUPP	external	omf_ms.c	omf_ms.c
0x00013b34	0x00023b34	_emit_thread	external	omf_ms.c	omf_ms.c
0x00013b80	0x00023b80	_eMODEND	external	omf_ms.c	omf_ms.c
0x00013b9c	0x00023b9c	_emit_syms	external	omf_ms.c	omf_ms.c
0x00013c98	0x00023c98	_emit_pubs	external	omf_ms.c	omf_ms.c
0x00013dd0	0x00023dd0	_common_name	external	omf_ms.c	omf_ms.c
0x00013dfc	0x00023dfc	_symbols	external	omf_ms.c	omf_ms.c
0x00013e90	0x00023e90	_fin_obj	external	omf_ms.c	omf_ms.c
0x00013fec	0x00023fec	_put_object	external	omf_ms.c	omf_ms.c
0x00014094	0x00024094	_put_val	external	omf_ms.c	omf_ms.c
0x000142c0	0x000242c0	_fix_ms	external	omf_ms.c	omf_ms.c
0x00014394	0x00024394	_fix_pointer	external	omf_ms.c	omf_ms.c
0x000143b0	0x000243b0	_fix_32_pointer	external	omf_ms.c	omf_ms.c
0x000143cc	0x000243cc	_fix_base	external	omf_ms.c	omf_ms.c
